oui
non
s'il vous plait
merci
il n'y a pas de quoi
bonjour (matin)
bonjour (journée)
bonjour (soir)
Comment vas-tu ?
Je vais bien.
au revoir (2 écritures )
Bonne nuit.
A demain.
Enchanté
J'espère qu'on va bien s'entendre.
Je vous en prie
Bon appetit.
excuse(z)-moi
pardonnez-moi
bon tavail
J'y vais.
Bonne journée
Je suis rentré
Bon retour
bienvenu (général)
bienvenu (chez-soi)
je rentre
