jour de la semaine
dimanche
lundi
mardi
mercredi
jeudi
vendredi
samedi
un astre
le Soleil
la Lune
Mars
Mercure
Jupiter
Vénus
Saturne
Uranus
Neptune
Pluton
la Terre
Paradis/Imperial
Roi
Mer/Ocean
Sombre/Profond
Le sol
Balle/Sphère
Grassouillet/Potelé
le temps du jour (le jour)
Système
