le reveillon de noel
l'aurore polaire
l'avalanche
le yéti
l'homme des neiges
le ski
le snowboard
le sapin de noel
la décoration (noel)
la décoration électrique (noel)
le père noel
le cadeau
le bonhomme de neige
le houx
le gâteau
la glace
la patinoire
le patin à glace
le renne
le traîneau
la femme des neiges
la boule de neige
la boule
l'igloo
l'étoile filante
le météore
le paysage enneigé
